ENTRYSTART|reference:398b22157b9375f92a153f32ae21f478|from_date:18720907|to_date:18720907|entrytype:class|source:BT 43/369/265831
36|class|Aa{*}|Aa{4}|B-FLD
37|11|9{*}|9{2}|I-FLD
38|:|:|:|I-FLD
39|furnitures|Aa{*}|Aa{9}|
40|fabric|a{*}|a{6}|
ENTRYSTART|reference:18a548275ba78ea2b39602bf252e6074|from_date:18720125|to_date:18720125|entrytype:class|source:BT 43/314/259949
23|class|Aa{*}|Aa{4}|B-FLD
24|10|9{*}|9{2}|I-FLD
25|:|:|:|I-FLD
26|printed|a{*}|a{7}|
27|fabrics|a{*}|a{7}|
ENTRYSTART|reference:d3e3e28ce3000d5e0b5e43bbd2f12be9|from_date:18720618|to_date:18720618|entrytype:class|source:BT 43/69/263496
28|class|Aa{*}|Aa{4}|B-FLD
29|4|9|9|I-FLD
30|:|:|:|I-FLD
31|earthenware|a{*}|a{11}|
ENTRYSTART|reference:c33e68d6c03a63fc6fe6300b71681f51|from_date:18720122|to_date:18720122|entrytype:class|source:BT 43/154/259870
29|class|Aa{*}|Aa{4}|B-FLD
30|6|9|9|I-FLD
31|:|:|:|I-FLD
32|carpets|a{*}|a{7}|
33|and|a{*}|a{3}|
34|floor|a{*}|a{5}|
35|coverings|a{*}|a{9}|
ENTRYSTART|reference:67db1a9b13f1e0535eeab7ef8efc6106|from_date:18721121|to_date:18721121|entrytype:class|source:BT 43/33/268064
25|class|Aa{*}|Aa{4}|B-FLD
26|1|9|9|I-FLD
27|:|:|:|I-FLD
28|metal|a{*}|a{5}|
29|.|.|.|
ENTRYSTART|reference:c32a541282c1b93a338fb9128fae8e77|from_date:18720322|to_date:18720322|entrytype:class|source:BT 43/31/261392
31|class|Aa{*}|Aa{4}|B-FLD
32|1|9|9|I-FLD
33|:|:|:|I-FLD
34|metal|a{*}|a{5}|
ENTRYSTART|reference:68797d1e355163e73a20f687563340bd|from_date:18721204|to_date:18721204|entrytype:class|source:BT 43/399/268402
32|class|Aa{*}|Aa{4}|B-FLD
33|12|9{*}|9{2}|I-FLD
34|i|a|a|I-FLD
35|:|:|:|I-FLD
36|other|a{*}|a{5}|
37|fabrics|a{*}|a{7}|
