ENTRYSTART|reference:18a548275ba78ea2b39602bf252e6074|from_date:18640607|to_date:18640607|entrytype:class|source:BT 43/291/175210
28|class|Aa{*}|Aa{4}|B-FLD
29|10|9{*}|9{2}|I-FLD
30|:|:|:|I-FLD
31|printed|a{*}|a{7}|
32|fabrics|a{*}|a{7}|
ENTRYSTART|reference:f06084847238d351baa7abe44413d06b|from_date:18641001|to_date:18641001|entrytype:class|source:BT 43/426/179374
33|class|Aa{*}|Aa{4}|B-FLD
34|13|9{*}|9{2}|I-FLD
35|:|:|:|I-FLD
36|lace|Aa{*}|Aa{3}|
37|or|a{*}|a{2}|
38|miscellanea|Aa{*}|Aa{10}|
ENTRYSTART|reference:67db1a9b13f1e0535eeab7ef8efc6106|from_date:18641220|to_date:18641220|entrytype:class|source:BT 43/16/182423
36|class|Aa{*}|Aa{4}|B-FLD
37|1|9|9|I-FLD
38|:|:|:|I-FLD
39|metal|a{*}|a{5}|
40|.|.|.|
ENTRYSTART|reference:c32a541282c1b93a338fb9128fae8e77|from_date:18641217|to_date:18641217|entrytype:class|source:BT 43/16/182405
32|class|Aa{*}|Aa{4}|B-FLD
33|1|9|9|I-FLD
34|:|:|:|I-FLD
35|metal|a{*}|a{5}|
ENTRYSTART|reference:68797d1e355163e73a20f687563340bd|from_date:18640617|to_date:18640617|entrytype:class|source:BT 43/397/175736
25|class|Aa{*}|Aa{4}|B-FLD
26|12|9{*}|9{2}|I-FLD
27|i|a|a|I-FLD
28|:|:|:|I-FLD
29|other|a{*}|a{5}|
30|fabrics|a{*}|a{7}|
ENTRYSTART|reference:c33e68d6c03a63fc6fe6300b71681f51|from_date:18641101|to_date:18641101|entrytype:class|source:BT 43/134/180689
39|class|Aa{*}|Aa{4}|B-FLD
40|6|9|9|I-FLD
41|:|:|:|I-FLD
42|carpets|Aa{*}|Aa{6}|
43|and|a{*}|a{3}|
44|floor|a{*}|a{5}|
45|coverings|a{*}|a{9}|
ENTRYSTART|reference:398b22157b9375f92a153f32ae21f478|from_date:18640922|to_date:18640922|entrytype:class|source:BT 43/364/178822
28|class|Aa{*}|Aa{4}|B-FLD
29|11|9{*}|9{2}|I-FLD
30|:|:|:|I-FLD
31|furnitures|Aa{*}|Aa{9}|
32|fabric|a{*}|a{6}|
ENTRYSTART|reference:d3e3e28ce3000d5e0b5e43bbd2f12be9|from_date:18640510|to_date:18640510|entrytype:class|source:BT 43/67/174458
27|class|Aa{*}|Aa{4}|B-FLD
28|4|9|9|I-FLD
29|:|:|:|I-FLD
30|earthenware|a{*}|a{11}|
ENTRYSTART|reference:2c9f9778aedf744b6c2a7f457e7c60ff|from_date:18640412|to_date:18640412|entrytype:class|source:BT 43/179/173485
25|class|Aa{*}|Aa{4}|B-FLD
26|7|9|9|I-FLD
27|:|:|:|I-FLD
28|printed|a{*}|a{7}|
29|shawls|a{*}|a{6}|
ENTRYSTART|reference:b0b568020e4d94f5a63a4fa79955d304|from_date:18640913|to_date:18640913|entrytype:class|source:BT 43/100/178462
25|class|Aa{*}|Aa{4}|B-FLD
26|5|9|9|I-FLD
27|:|:|:|I-FLD
28|paper|Aa{*}|Aa{4}|
29|hangings|a{*}|a{8}|
ENTRYSTART|reference:dfd065544cdbcce90f323cef50c0eefa|from_date:18640608|to_date:18640608|entrytype:class|source:BT 43/412/175305
27|class|Aa{*}|Aa{4}|B-FLD
28|12|9{*}|9{2}|I-FLD
29|ii|a{*}|a{2}|I-FLD
30|:|:|:|I-FLD
31|damask|a{*}|a{6}|
ENTRYSTART|reference:acf1cdfecfc438079ee160447b91cd6f|from_date:18641114|to_date:18641114|entrytype:class|source:BT 43/58/181368
35|class|Aa{*}|Aa{4}|B-FLD
36|2|9|9|I-FLD
37|:|:|:|I-FLD
38|wood|a{*}|a{4}|
ENTRYSTART|reference:ae14bfd8152dc63cf26c15ec2b9495d8|from_date:18640308|to_date:18640308|entrytype:class|source:BT 43/61/172350
28|class|Aa{*}|Aa{4}|B-FLD
29|3|9|9|I-FLD
30|:|:|:|I-FLD
31|glass|a{*}|a{5}|
ENTRYSTART|reference:cc60627b58a696355edbe2d03ffb4a6d|from_date:18640702|to_date:18640702|entrytype:class|source:BT 43/67/175959
31|class|Aa{*}|Aa{4}|B-FLD
32|4|9|9|I-FLD
33|:|:|:|I-FLD
34|earthenware|a{*}|a{11}|
35|.|.|.|
ENTRYSTART|reference:3f4194e8faf932eb0f20bbb9bfa27c41|from_date:18640205|to_date:18640205|entrytype:class|source:BT 43/426/171524
26|class|Aa{*}|Aa{4}|B-FLD
27|13|9{*}|9{2}|I-FLD
28|:|:|:|I-FLD
29|miscellanea|Aa{*}|Aa{10}|
ENTRYSTART|reference:04e7905384770001e2075a7695e9d63d|from_date:18640205|to_date:18640205|entrytype:class|source:BT 43/185/171522
27|class|Aa{*}|Aa{4}|B-FLD
28|8|9|9|I-FLD
29|:|:|:|I-FLD
30|other|a{*}|a{5}|
31|woven|a{*}|a{5}|
32|,|,|,|
33|etc|a{*}|a{3}|
34|shawls|a{*}|a{6}|
ENTRYSTART|reference:c62d24b151d162b826e2c8bfd9c348fe|from_date:18640505|to_date:18640505|entrytype:class|source:BT 43/364/174305
29|class|Aa{*}|Aa{4}|B-FLD
30|11|9{*}|9{2}|I-FLD
31|:|:|:|I-FLD
32|furnitures|Aa{*}|Aa{9}|
33|fabric|a{*}|a{6}|
34|,|,|,|
ENTRYSTART|reference:08d9d19fb0e101f61bab93049ef709eb|from_date:18640525|to_date:18640525|entrytype:class|source:BT 43/61/174857
30|class|Aa{*}|Aa{4}|B-FLD
31|3|9|9|I-FLD
32|:|:|:|I-FLD
33|glass|a{*}|a{5}|
34|.|.|.|
ENTRYSTART|reference:ec0f098765c008483786cc3cec6eb876|from_date:18640505|to_date:18640505|entrytype:class|source:BT 43/291/174305
27|class|Aa{*}|Aa{4}|B-FLD
28|10|9{*}|9{2}|I-FLD
29|:|:|:|I-FLD
30|printed|a{*}|a{7}|
31|fabrics|a{*}|a{7}|
32|.|.|.|
ENTRYSTART|reference:7f17032a7e580616a7c3fb3f932bb434|from_date:18640812|to_date:18640812|entrytype:class|source:BT 43/412/177580
30|class|Aa{*}|Aa{4}|B-FLD
31|12|9{*}|9{2}|I-FLD
32|ii|a{*}|a{2}|I-FLD
33|:|:|:|I-FLD
34|damask|a{*}|a{6}|
35|.|.|.|
ENTRYSTART|reference:67dec81a679271b3b977e4090ba38147|from_date:18640222|to_date:18640222|entrytype:class|source:BT 43/185/171930
24|class|Aa{*}|Aa{4}|B-FLD
25|8|9|9|I-FLD
26|:|:|:|I-FLD
27|other|a{*}|a{5}|
28|woven|a{*}|a{5}|
29|,|,|,|
30|etc|a{*}|a{3}|
31|shawls|a{*}|a{6}|
32|.|.|.|
