ENTRYSTART|reference:04e297193d716550414fbaf41118796f|from_date:18620903|to_date:18620903|entrytype:class|source:BT 43/129/154290
22|class|Aa{*}|Aa{4}|B-FLD
23|6|9|9|I-FLD
24|:|:|:|I-FLD
25|carpets|Aa{*}|Aa{6}|
26|and|a{*}|a{3}|
27|floor|a{*}|a{5}|
28|coverings|a{*}|a{9}|
29|.|.|.|
ENTRYSTART|reference:c33e68d6c03a63fc6fe6300b71681f51|from_date:18620324|to_date:18620324|entrytype:class|source:BT 43/128/150192
26|class|Aa{*}|Aa{4}|B-FLD
27|6|9|9|I-FLD
28|:|:|:|I-FLD
29|carpets|Aa{*}|Aa{6}|
30|and|a{*}|a{3}|
31|floor|a{*}|a{5}|
32|coverings|a{*}|a{9}|
ENTRYSTART|reference:b6c641f8982e7e6aef5425f281d2cd6b|from_date:18620318|to_date:18620318|entrytype:class|source:BT 43/283/150068
28|class|Aa{*}|Aa{4}|B-FLD
29|10|9{*}|9{2}|I-FLD
30|:|:|:|I-FLD
31|printed|a{*}|a{7}|
32|fabric|a{*}|a{6}|
ENTRYSTART|reference:398b22157b9375f92a153f32ae21f478|from_date:18620103|to_date:18620103|entrytype:class|source:BT 43/362/148325
31|class|Aa{*}|Aa{4}|B-FLD
32|11|9{*}|9{2}|I-FLD
33|:|:|:|I-FLD
34|furnitures|Aa{*}|Aa{9}|
35|fabric|a{*}|a{6}|
ENTRYSTART|reference:18a548275ba78ea2b39602bf252e6074|from_date:18620111|to_date:18620111|entrytype:class|source:BT 43/283/148521
26|class|Aa{*}|Aa{4}|B-FLD
27|10|9{*}|9{2}|I-FLD
28|:|:|:|I-FLD
29|printed|a{*}|a{7}|
30|fabrics|a{*}|a{7}|
ENTRYSTART|reference:c32a541282c1b93a338fb9128fae8e77|from_date:18620825|to_date:18620825|entrytype:class|source:BT 43/13/154146
34|class|Aa{*}|Aa{4}|B-FLD
35|1|9|9|I-FLD
36|:|:|:|I-FLD
37|metal|a{*}|a{5}|
ENTRYSTART|reference:68797d1e355163e73a20f687563340bd|from_date:18620809|to_date:18620809|entrytype:class|source:BT 43/397/153688
23|class|Aa{*}|Aa{4}|B-FLD
24|12|9{*}|9{2}|I-FLD
25|i|a|a|I-FLD
26|:|:|:|I-FLD
27|other|a{*}|a{5}|
28|fabrics|a{*}|a{7}|
ENTRYSTART|reference:f06084847238d351baa7abe44413d06b|from_date:18620408|to_date:18620408|entrytype:class|source:BT 43/426/150530
34|class|Aa{*}|Aa{4}|B-FLD
35|13|9{*}|9{2}|I-FLD
36|:|:|:|I-FLD
37|lace|Aa{*}|Aa{3}|
38|or|a{*}|a{2}|
39|miscellanea|Aa{*}|Aa{10}|
ENTRYSTART|reference:dfd065544cdbcce90f323cef50c0eefa|from_date:18620627|to_date:18620627|entrytype:class|source:BT 43/411/152736
25|class|Aa{*}|Aa{4}|B-FLD
26|12|9{*}|9{2}|I-FLD
27|ii|a{*}|a{2}|I-FLD
28|:|:|:|I-FLD
29|damask|a{*}|a{6}|
ENTRYSTART|reference:b0b568020e4d94f5a63a4fa79955d304|from_date:18620419|to_date:18620419|entrytype:class|source:BT 43/99/151078
27|class|Aa{*}|Aa{4}|B-FLD
28|5|9|9|I-FLD
29|:|:|:|I-FLD
30|paper|Aa{*}|Aa{4}|
31|hangings|a{*}|a{8}|
ENTRYSTART|reference:d3e3e28ce3000d5e0b5e43bbd2f12be9|from_date:18620704|to_date:18620704|entrytype:class|source:BT 43/67/152963
22|class|Aa{*}|Aa{4}|B-FLD
23|4|9|9|I-FLD
24|:|:|:|I-FLD
