ENTRYSTART|reference:18a548275ba78ea2b39602bf252e6074|from_date:18701014|to_date:18701014|entrytype:class|source:BT 43/310/245782
28|class|Aa{*}|Aa{4}|B-FLD
29|10|9{*}|9{2}|I-FLD
30|:|:|:|I-FLD
31|printed|a{*}|a{7}|
32|fabrics|a{*}|a{7}|
ENTRYSTART|reference:398b22157b9375f92a153f32ae21f478|from_date:18700107|to_date:18700107|entrytype:class|source:BT 43/367/237896
29|class|Aa{*}|Aa{4}|B-FLD
30|11|9{*}|9{2}|I-FLD
31|:|:|:|I-FLD
32|furnitures|Aa{*}|Aa{9}|
33|fabric|a{*}|a{6}|
ENTRYSTART|reference:f06084847238d351baa7abe44413d06b|from_date:18700502|to_date:18700502|entrytype:class|source:BT 43/428/241149
36|class|Aa{*}|Aa{4}|B-FLD
37|13|9{*}|9{2}|I-FLD
38|:|:|:|I-FLD
39|lace|Aa{*}|Aa{3}|
40|or|a{*}|a{2}|
41|miscellanea|Aa{*}|Aa{10}|
ENTRYSTART|reference:c32a541282c1b93a338fb9128fae8e77|from_date:18700128|to_date:18700128|entrytype:class|source:BT 43/26/238404
25|class|Aa{*}|Aa{4}|B-FLD
26|1|9|9|I-FLD
27|:|:|:|I-FLD
28|metal|a{*}|a{5}|
ENTRYSTART|reference:dfd065544cdbcce90f323cef50c0eefa|from_date:18700203|to_date:18700203|entrytype:class|source:BT 43/413/238589
33|class|Aa{*}|Aa{4}|B-FLD
34|12|9{*}|9{2}|I-FLD
35|ii|a{*}|a{2}|I-FLD
36|:|:|:|I-FLD
37|damask|a{*}|a{6}|
ENTRYSTART|reference:c33e68d6c03a63fc6fe6300b71681f51|from_date:18700222|to_date:18700222|entrytype:class|source:BT 43/148/239083
29|class|Aa{*}|Aa{4}|B-FLD
30|6|9|9|I-FLD
31|:|:|:|I-FLD
32|carpets|a{*}|a{7}|
33|and|a{*}|a{3}|
34|floor|a{*}|a{5}|
35|coverings|a{*}|a{9}|
ENTRYSTART|reference:3f4194e8faf932eb0f20bbb9bfa27c41|from_date:18701129|to_date:18701129|entrytype:class|source:BT 43/428/248153
29|class|Aa{*}|Aa{4}|B-FLD
30|13|9{*}|9{2}|I-FLD
31|:|:|:|I-FLD
32|miscellanea|Aa{*}|Aa{10}|
ENTRYSTART|reference:2d05f7fe7127793d282f2e06500271c9|from_date:18700810|to_date:18700810|entrytype:class|source:BT 43/399/243837
31|class|Aa{*}|Aa{4}|B-FLD
32|12|9{*}|9{2}|I-FLD
33|i|a|a|I-FLD
34|:|:|:|I-FLD
35|other|a{*}|a{5}|
36|fabrics|a{*}|a{7}|
37|.|.|.|
ENTRYSTART|reference:d3e3e28ce3000d5e0b5e43bbd2f12be9|from_date:18701121|to_date:18701121|entrytype:class|source:BT 43/68/247901
25|class|Aa{*}|Aa{4}|B-FLD
26|4|9|9|I-FLD
27|:|:|:|I-FLD
28|earthenware|a{*}|a{11}|
ENTRYSTART|reference:68797d1e355163e73a20f687563340bd|from_date:18700507|to_date:18700507|entrytype:class|source:BT 43/399/241289
30|class|Aa{*}|Aa{4}|B-FLD
31|12|9{*}|9{2}|I-FLD
32|i|a|a|I-FLD
33|:|:|:|I-FLD
34|other|a{*}|a{5}|
35|fabrics|a{*}|a{7}|
ENTRYSTART|reference:04e7905384770001e2075a7695e9d63d|from_date:18700115|to_date:18700115|entrytype:class|source:BT 43/185/238113
25|class|Aa{*}|Aa{4}|B-FLD
26|8|9|9|I-FLD
27|:|:|:|I-FLD
28|other|a{*}|a{5}|
29|woven|a{*}|a{5}|
30|,|,|,|
31|etc|a{*}|a{3}|
32|shawls|a{*}|a{6}|
ENTRYSTART|reference:b0b568020e4d94f5a63a4fa79955d304|from_date:18700608|to_date:18700608|entrytype:class|source:BT 43/100/242370
25|class|Aa{*}|Aa{4}|B-FLD
26|5|9|9|I-FLD
27|:|:|:|I-FLD
28|paper|Aa{*}|Aa{4}|
29|hangings|a{*}|a{8}|
ENTRYSTART|reference:acf1cdfecfc438079ee160447b91cd6f|from_date:18700221|to_date:18700221|entrytype:class|source:BT 43/58/239057
28|class|Aa{*}|Aa{4}|B-FLD
29|2|9|9|I-FLD
30|:|:|:|I-FLD
31|wood|a{*}|a{4}|
ENTRYSTART|reference:ae14bfd8152dc63cf26c15ec2b9495d8|from_date:18700228|to_date:18700228|entrytype:class|source:BT 43/61/239241
35|class|Aa{*}|Aa{4}|B-FLD
36|3|9|9|I-FLD
37|:|:|:|I-FLD
38|glass|a{*}|a{5}|
ENTRYSTART|reference:2c9f9778aedf744b6c2a7f457e7c60ff|from_date:18700302|to_date:18700302|entrytype:class|source:BT 43/180/239320
39|class|Aa{*}|Aa{4}|B-FLD
40|7|9|9|I-FLD
41|:|:|:|I-FLD
42|printed|a{*}|a{7}|
43|shawls|a{*}|a{6}|
ENTRYSTART|reference:7f17032a7e580616a7c3fb3f932bb434|from_date:18701003|to_date:18701003|entrytype:class|source:BT 43/413/245386
34|class|Aa{*}|Aa{4}|B-FLD
35|12|9{*}|9{2}|I-FLD
36|ii|a{*}|a{2}|I-FLD
37|:|:|:|I-FLD
38|damask|a{*}|a{6}|
39|.|.|.|
ENTRYSTART|reference:ec0f098765c008483786cc3cec6eb876|from_date:18700824|to_date:18700824|entrytype:class|source:BT 43/310/244200
21|class|Aa{*}|Aa{4}|B-FLD
22|10|9{*}|9{2}|I-FLD
23|:|:|:|I-FLD
24|printed|a{*}|a{7}|
25|fabrics|a{*}|a{7}|
26|.|.|.|
ENTRYSTART|reference:67db1a9b13f1e0535eeab7ef8efc6106|from_date:18700429|to_date:18700429|entrytype:class|source:BT 43/27/241053
26|class|Aa{*}|Aa{4}|B-FLD
27|1|9|9|I-FLD
28|:|:|:|I-FLD
29|metal|a{*}|a{5}|
30|.|.|.|
ENTRYSTART|reference:08d9d19fb0e101f61bab93049ef709eb|from_date:18700913|to_date:18700913|entrytype:class|source:BT 43/61/244871
31|class|Aa{*}|Aa{4}|B-FLD
32|3|9|9|I-FLD
33|:|:|:|I-FLD
34|glass|a{*}|a{5}|
35|.|.|.|
ENTRYSTART|reference:c62d24b151d162b826e2c8bfd9c348fe|from_date:18700901|to_date:18700901|entrytype:class|source:BT 43/367/244493
29|class|Aa{*}|Aa{4}|B-FLD
30|11|9{*}|9{2}|I-FLD
31|:|:|:|I-FLD
32|furnitures|Aa{*}|Aa{9}|
33|fabric|a{*}|a{6}|
34|,|,|,|
ENTRYSTART|reference:67dec81a679271b3b977e4090ba38147|from_date:18701222|to_date:18701222|entrytype:class|source:BT 43/185/249038
28|class|Aa{*}|Aa{4}|B-FLD
29|8|9|9|I-FLD
30|:|:|:|I-FLD
31|other|a{*}|a{5}|
32|woven|a{*}|a{5}|
33|,|,|,|
34|etc|a{*}|a{3}|
35|shawls|a{*}|a{6}|
36|.|.|.|
ENTRYSTART|reference:02663442526f4d1ec8b1e642afcd6f55|from_date:18700113|to_date:18700113|entrytype:class|source:BT 43/180/238074
24|class|Aa{*}|Aa{4}|B-FLD
25|7|9|9|I-FLD
26|:|:|:|I-FLD
27|printed|a{*}|a{7}|
28|shawls|a{*}|a{6}|
29|.|.|.|
30|pages|Aa{*}|Aa{4}|
31|stuck|a{*}|a{5}|
32|together|a{*}|a{8}|
ENTRYSTART|reference:177c7ef902d0b4256885cdacc7b48cf7|from_date:18701013|to_date:18701013|entrytype:class|source:BT 43/58/245748
35|class|Aa{*}|Aa{4}|B-FLD
36|2|9|9|I-FLD
37|:|:|:|I-FLD
38|wood|a{*}|a{4}|
39|.|.|.|
ENTRYSTART|reference:a2d6a4f4cfceae862b39bff193b5b2b0|from_date:18701205|to_date:18701205|entrytype:class|source:BT 43/428/248321
31|class|Aa{*}|Aa{4}|B-FLD
32|13|9{*}|9{2}|I-FLD
33|:|:|:|I-FLD
34|lace|Aa{*}|Aa{3}|
35|or|a{*}|a{2}|
36|miscellanea|Aa{*}|Aa{10}|
37|;|;|;|
ENTRYSTART|reference:cc60627b58a696355edbe2d03ffb4a6d|from_date:18700402|to_date:18700402|entrytype:class|source:BT 43/68/240215
32|class|Aa{*}|Aa{4}|B-FLD
33|4|9|9|I-FLD
34|:|:|:|I-FLD
35|earthenware|a{*}|a{11}|
36|.|.|.|
ENTRYSTART|reference:8a34617c530205fbf19a740ddd26cf9d|from_date:18700103|to_date:18700103|entrytype:class|source:BT 43/180/237774
24|class|Aa{*}|Aa{4}|B-FLD
25|7|9|9|I-FLD
26|:|:|:|I-FLD
27|printed|a{*}|a{7}|
28|shawls|a{*}|a{6}|
29|.|.|.|
30|annotation|Aa{*}|Aa{9}|
31|on|a{*}|a{2}|
ENTRYSTART|reference:2ece733900f8f3762f1cd418674b6f90|from_date:18701220|to_date:18701220|entrytype:class|source:BT 43/428/248985
32|class|Aa{*}|Aa{4}|B-FLD
33|13|9{*}|9{2}|I-FLD
34|:|:|:|I-FLD
35|miscellanea|Aa{*}|Aa{10}|
36|;|;|;|
